Id;Marker;Active;NumVertices;Vertices;NumEdges;Edges
0;0;1;4;1;3;2;0;4;0;1;2;3
1;0;1;5;4;5;6;3;1;5;4;5;6;0;7
2;0;1;5;7;8;9;5;4;5;8;9;10;4;11
3;0;1;4;10;11;8;7;4;12;13;8;14
4;0;1;5;3;6;13;12;2;5;6;15;16;17;1
5;0;1;5;11;15;14;9;8;5;18;19;20;9;13
6;0;1;5;16;12;13;18;17;5;21;16;22;23;24
7;0;1;8;18;13;6;5;9;14;19;20;8;22;15;5;10;20;25;26;27
8;0;1;5;15;21;22;19;14;5;28;29;30;25;19
9;0;1;4;17;24;23;16;4;31;32;33;24
10;0;1;5;20;25;24;17;18;5;34;35;31;23;27
11;0;1;5;25;20;19;22;26;5;34;26;30;36;37
12;0;1;4;21;27;26;22;4;38;39;36;29
